case_n_substeps,timestep,substep,process,value,n_substeps,sub_dt
15,2,8,uplift,0.008399999619742964,15,0.06666666666666667
15,2,8,uplift_change,0.0009333333333333338,15,0.06666666666666667
15,2,8,deposition,0.008399999619742964,15,0.06666666666666667
15,2,9,diffusion,0.008399999524678708,15,0.06666666666666667
15,2,9,diffusion_change,1.8379088528863718e-10,15,0.06666666666666667
15,2,9,uplift,0.009333332858012041,15,0.06666666666666667
15,2,9,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,9,deposition,0.009333332858012041,15,0.06666666666666667
15,2,10,diffusion,0.009333332752385091,15,0.06666666666666667
15,2,10,diffusion_change,2.0421209168119958e-10,15,0.06666666666666667
15,2,10,uplift,0.010266666085718424,15,0.06666666666666667
15,2,10,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,10,deposition,0.010266666085718424,15,0.06666666666666667
15,2,11,diffusion,0.010266665969528781,15,0.06666666666666667
15,2,11,diffusion_change,2.2463329807376198e-10,15,0.06666666666666667
15,2,11,uplift,0.011199999302862114,15,0.06666666666666667
15,2,11,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,11,deposition,0.011199999302862114,15,0.06666666666666667
15,2,12,diffusion,0.011199999176109776,15,0.06666666666666667
15,2,12,diffusion_change,2.450545027316009e-10,15,0.06666666666666667
15,2,12,uplift,0.01213333250944311,15,0.06666666666666667
15,2,12,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,12,deposition,0.01213333250944311,15,0.06666666666666667
15,2,13,diffusion,0.012133332372128078,15,0.06666666666666667
15,2,13,diffusion_change,2.654757073894398e-10,15,0.06666666666666667
15,2,13,uplift,0.013066665705461411,15,0.06666666666666667
15,2,13,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,13,deposition,0.013066665705461411,15,0.06666666666666667
15,2,14,diffusion,0.013066665557583687,15,0.06666666666666667
15,2,14,diffusion_change,2.8589691031255526e-10,15,0.06666666666666667
15,2,14,uplift,0.01399999889091702,15,0.06666666666666667
15,2,14,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,2,14,deposition,0.01399999889091702,15,0.06666666666666667
15,3,0,diffusion,0.013999998732476603,15,0.06666666666666667
15,3,0,diffusion_change,3.063181132356707e-10,15,0.06666666666666667
15,3,0,uplift,0.014933332065809936,15,0.06666666666666667
15,3,0,uplift_change,0.0009333333333333329,15,0.06666666666666667
15,3,0,deposition,0.0009333331748929159,15,0.06666666666666667
15,3,1,diffusion,0.014933331896806828,15,0.06666666666666667
15,3,1,diffusion_change,3.2673931615878615e-10,15,0.06666666666666667
15,3,1,uplift,0.015866665230140162,15,0.06666666666666667
15,3,1,uplift_change,0.0009333333333333346,15,0.06666666666666667
15,3,1,deposition,0.001866666339223142,15,0.06666666666666667
15,3,2,diffusion,0.01586666505057436,15,0.06666666666666667
15,3,2,diffusion_change,3.471605190819016e-10,15,0.06666666666666667
15,3,2,uplift,0.016799998383907694,15,0.06666666666666667
15,3,2,uplift_change,0.0009333333333333346,15,0.06666666666666667
15,3,2,deposition,0.0027999994929906735,15,0.06666666666666667
15,3,3,diffusion,0.0167999981937792,15,0.06666666666666667
15,3,3,diffusion_change,3.675817185355701e-10,15,0.06666666666666667
